leiden,n_cells,n_gses,paired_ab_fraction,paired_gd_fraction,phase4_trd_score_median,phase4_trab_score_median,phase4_trd_minus_trab_median,gdt_marker_mean,treg_marker_mean,nk_marker_mean,tcell_marker_mean,cd4_marker_mean,cd8_marker_mean,gdt_rule,nk_rule,treg_rule,cd8_rule,cd4_rule,treg_cd4_ge_cd8,treg_nk_low,simple_annotation_plus6
15,107880,29,0.0415461624026696,0.0008713385242862,-0.0376454330980777,-0.0774349197745323,0.0397311374545097,0.0,0.0,0.0,0.2811846733093261,0.6077302098274231,0.0,False,False,False,False,True,True,True,CD4_T
6,191877,30,0.2532820504802556,0.0347149475966374,-0.028009183704853,-0.0509499497711658,0.0201619807630777,0.0,0.0,0.9150388240814208,1.128160834312439,1.3305789232254028,1.2520802021026611,False,False,False,False,True,True,False,CD4_T
8,327887,30,0.0682796207229929,0.000914949357553,-0.039940271526575,-0.0505489744246006,0.0085182189941406,0.0,0.0,0.0,0.2646889984607696,0.5293631553649902,0.2349841445684433,False,False,False,False,True,True,True,CD4_T
4,354509,30,0.3735194311004798,0.0025020521340784,-0.0360088795423507,-0.0440567210316658,0.007143847644329,0.0,0.0,0.0,1.0958869457244873,1.1187341213226318,0.5604546070098877,False,False,False,False,True,True,True,CD4_T
5,164505,29,0.148542597489438,0.0002127594905929,-0.0364428050816059,-0.0439124256372451,0.0065759271383285,0.0,0.0,0.0,1.1021606922149658,0.915513038635254,0.0,False,False,False,False,True,True,True,CD4_T
7,223837,30,0.520901370193489,0.0003440003216626,-0.0384599231183528,-0.0450483039021492,0.0059772692620754,0.0,0.0,0.1510497480630874,1.1071398258209229,1.1998845338821411,0.9333791732788086,False,False,False,False,True,True,True,CD4_T
10,465413,30,0.3481896723984933,0.00093680236693,-0.0329542234539985,-0.0376505926251411,0.0042670555412769,0.0,0.0,0.0,1.082517385482788,1.393742322921753,0.0,False,False,False,False,True,True,True,CD4_T
11,615707,30,0.4926044368506448,0.0003004675925399,-0.0345148183405399,-0.037157941609621,0.0022608982399106,0.0,0.0,0.0,1.0888311862945557,1.5266317129135132,0.0,False,False,False,False,True,True,True,CD4_T
13,223369,30,0.1051130640330574,0.0393608781881102,0.1233443990349769,-0.0696019679307937,0.1970373839139938,0.0,0.0,1.5982145071029663,0.9029217958450316,0.0,1.2226529121398926,False,False,False,True,False,False,False,CD8_T
9,453368,30,0.033696687900337,0.0040408674630763,-0.0218251664191484,-0.0669590830802917,0.0473387762904167,0.0,0.0,3.059014320373535,0.8614311218261719,0.0,1.669079303741455,False,False,False,True,False,False,False,CD8_T
18,72152,30,0.1052223084599179,0.0971144251025612,-0.0270117111504077,-0.059513472020626,0.0310385972261428,0.0,0.0,1.0673092603683472,1.0068585872650146,0.0,1.1955344676971436,False,False,False,True,False,False,False,CD8_T
19,34596,28,0.0238177824025898,0.0026303618915481,-0.0301446430385112,-0.0490427315235137,0.0164943244308233,0.0,0.3038396835327148,0.433466762304306,1.427048921585083,0.6630271673202515,1.5095372200012207,False,False,False,True,False,False,False,CD8_T
2,90576,30,0.2881116410528175,0.0069113230877936,-0.0512070097029209,-0.0698814839124679,0.0162204056978225,0.0,0.0,0.5917186737060547,1.3488811254501345,0.0,0.7720804810523987,False,False,False,True,False,False,False,CD8_T
17,21283,30,0.0617864022929098,0.0005638302870835,-0.0387365408241748,-0.0511512830853462,0.0103308409452438,0.0,0.0,0.4271779954433441,1.0454158782958984,0.5175121426582336,0.9557891488075256,False,False,False,True,False,False,False,CD8_T
