old_path,new_path,category,reason
old_verson,archive/legacy_pipeline/pre_canonical_data_intake,legacy_directory,Superseded pre-canonical intake code and records
oldversion,archive/legacy_pipeline/control_file_snapshots,legacy_directory,Superseded control-file snapshots
downloads/build_scrna_tcr_sample_mapping.py,archive/legacy_pipeline/download_helpers/build_scrna_tcr_sample_mapping.py,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/continuous_download.sh,archive/legacy_pipeline/download_helpers/continuous_download.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_168859_221776.sh,archive/legacy_pipeline/download_helpers/download_168859_221776.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_all_fastq.sh,archive/legacy_pipeline/download_helpers/download_all_fastq.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_fastq.py,archive/legacy_pipeline/download_helpers/download_fastq.py,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_fastq_ena.sh,archive/legacy_pipeline/download_helpers/download_fastq_ena.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_fastq_final.sh,archive/legacy_pipeline/download_helpers/download_fastq_final.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_remaining.sh,archive/legacy_pipeline/download_helpers/download_remaining.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_remaining_10threads.py,archive/legacy_pipeline/download_helpers/download_remaining_10threads.py,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_scrna_10threads.py,archive/legacy_pipeline/download_helpers/download_scrna_10threads.py,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_scrna_only.py,archive/legacy_pipeline/download_helpers/download_scrna_only.py,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
downloads/download_scrna_only.sh,archive/legacy_pipeline/download_helpers/download_scrna_only.sh,legacy_download_code,Completed acquisition helper superseded by registry-driven intake
